date,type,sales,drawdate,jackpot
2014-03-14,extra," 60,835 ",2014-03-15,"$500,000"
2014-03-14,lotto649," 314,468 ",2014-03-15,"$ 11,000,000 "
2014-03-15,bc49," 87,207 ",2014-03-15,"$2,000,000"
2014-03-15,extra," 67,418 ",2014-03-15,"$500,000"
2014-03-15,lotto649," 435,897 ",2014-03-15,"$ 11,000,000 "
2014-03-16,bc49," 23,241 ",2014-03-19,"$2,000,000"
2014-03-16,extra," 27,037 ",2014-03-19,"$500,000"
2014-03-16,lotto649," 127,895 ",2014-03-19,"$ 14,000,000 "
2014-03-17,bc49," 34,036 ",2014-03-19,"$2,000,000"
2014-03-17,extra," 34,204 ",2014-03-19,"$500,000"
2014-03-17,lotto649," 188,891 ",2014-03-19,"$ 14,000,000 "
2014-03-18,bc49," 41,407 ",2014-03-19,"$2,000,000"
2014-03-18,extra," 40,548 ",2014-03-19,"$500,000"
2014-03-18,lotto649," 239,823 ",2014-03-19,"$ 14,000,000 "
2014-03-19,bc49," 84,872 ",2014-03-19,"$2,000,000"
2014-03-19,extra," 71,247 ",2014-03-19,"$500,000"
2014-03-19,lotto649," 456,868 ",2014-03-19,"$ 14,000,000 "
2014-03-20,bc49," 32,753 ",2014-03-22,"$2,000,000"
2014-03-20,extra," 39,700 ",2014-03-22,"$500,000"
2014-03-20,lotto649," 205,910 ",2014-03-22,"$ 19,000,000 "
2014-03-21,bc49," 51,450 ",2014-03-22,"$2,000,000"
2014-03-21,extra," 61,055 ",2014-03-22,"$500,000"
2014-03-21,lotto649," 340,591 ",2014-03-22,"$ 19,000,000 "
2014-03-22,bc49," 94,828 ",2014-03-22,"$2,000,000"
2014-03-22,extra," 78,324 ",2014-03-22,"$500,000"
2014-03-22,lotto649," 522,461 ",2014-03-22,"$ 19,000,000 "
2014-03-23,bc49," 21,376 ",2014-03-26,"$2,000,000"
2014-03-23,extra," 25,385 ",2014-03-26,"$500,000"
2014-03-23,lotto649," 101,282 ",2014-03-26,"$ 5,000,000 "
2014-03-24,bc49," 30,586 ",2014-03-26,"$2,000,000"
2014-03-24,extra," 29,834 ",2014-03-26,"$500,000"
2014-03-24,lotto649," 143,992 ",2014-03-26,"$ 5,000,000 "
2014-03-25,bc49," 34,673 ",2014-03-26,"$2,000,000"
2014-03-25,extra," 32,184 ",2014-03-26,"$500,000"
2014-03-25,lotto649," 169,060 ",2014-03-26,"$ 5,000,000 "
2014-03-26,bc49," 85,805 ",2014-03-26,"$2,000,000"
2014-03-26,extra," 64,661 ",2014-03-26,"$500,000"
2014-03-26,lotto649," 371,930 ",2014-03-26,"$ 5,000,000 "
2014-03-27,bc49," 33,851 ",2014-03-29,"$2,000,000"
2014-03-27,extra," 36,234 ",2014-03-29,"$500,000"
2014-03-27,lotto649," 170,163 ",2014-03-29,"$ 7,000,000 "
2014-03-28,bc49," 46,351 ",2014-03-29,"$2,000,000"
2014-03-28,extra," 51,981 ",2014-03-29,"$500,000"
2014-03-28,lotto649," 255,583 ",2014-03-29,"$ 7,000,000 "
2014-03-29,bc49," 94,034 ",2014-03-29,"$2,000,000"
2014-03-29,extra," 68,526 ",2014-03-29,"$500,000"
2014-03-29,lotto649," 423,198 ",2014-03-29,"$ 7,000,000 "
2014-03-30,bc49," 24,000 ",2014-04-02,"$2,000,000"
2014-03-30,extra," 26,422 ",2014-04-02,"$500,000"
2014-03-30,lotto649," 130,170 ",2014-04-02,"$ 11,000,000 "
2014-03-31,bc49," 33,382 ",2014-04-02,"$2,000,000"
2014-03-31,extra," 33,629 ",2014-04-02,"$500,000"
2014-03-31,lotto649," 184,915 ",2014-04-02,"$ 11,000,000 "
2014-04-01,bc49," 45,481 ",2014-04-02,"$2,000,000"
2014-04-01,extra," 40,807 ",2014-04-02,"$500,000"
2014-04-01,lotto649," 243,252 ",2014-04-02,"$ 11,000,000 "
2014-04-02,bc49," 89,096 ",2014-04-02,"$2,000,000"
2014-04-02,extra," 71,119 ",2014-04-02,"$500,000"
2014-04-02,lotto649," 456,643 ",2014-04-02,"$ 11,000,000 "
2014-04-03,bc49," 31,327 ",2014-04-05,"$2,000,000"
2014-04-03,extra," 32,302 ",2014-04-05,"$500,000"
2014-04-03,lotto649," 148,930 ",2014-04-05,"$ 5,000,000 "
2014-04-04,bc49," 50,013 ",2014-04-05,"$2,000,000"
2014-04-04,extra," 50,771 ",2014-04-05,"$500,000"
2014-04-04,lotto649," 248,479 ",2014-04-05,"$ 5,000,000 "
2014-04-05,bc49," 91,142 ",2014-04-05,"$2,000,000"
2014-04-05,extra," 65,094 ",2014-04-05,"$500,000"
2014-04-05,lotto649," 389,499 ",2014-04-05,"$ 5,000,000 "
2014-04-06,bc49," 22,250 ",2014-04-09,"$2,000,000"
2014-04-06,extra," 24,722 ",2014-04-09,"$500,000"
2014-04-06,lotto649," 108,009 ",2014-04-09,"$ 7,000,000 "
2014-04-07,bc49," 31,794 ",2014-04-09,"$2,000,000"
2014-04-07,extra," 29,828 ",2014-04-09,"$500,000"
2014-04-07,lotto649," 149,293 ",2014-04-09,"$ 7,000,000 "
2014-04-08,bc49," 40,183 ",2014-04-09,"$2,000,000"
2014-04-08,extra," 35,035 ",2014-04-09,"$500,000"
2014-04-08,lotto649," 197,031 ",2014-04-09,"$ 7,000,000 "
2014-04-09,bc49," 83,256 ",2014-04-09,"$2,000,000"
2014-04-09,extra," 63,323 ",2014-04-09,"$500,000"
2014-04-09,lotto649," 382,194 ",2014-04-09,"$ 7,000,000 "
2014-04-10,bc49," 30,505 ",2014-04-12,"$2,000,000"
2014-04-10,extra," 31,365 ",2014-04-12,"$500,000"
2014-04-10,lotto649," 144,637 ",2014-04-12,"$ 5,000,000 "
2014-04-11,bc49," 47,289 ",2014-04-12,"$2,000,000"
2014-04-11,extra," 46,821 ",2014-04-12,"$500,000"
2014-04-11,lotto649," 232,260 ",2014-04-12,"$ 5,000,000 "
2014-04-12,bc49," 88,490 ",2014-04-12,"$2,000,000"
2014-04-12,extra," 62,037 ",2014-04-12,"$500,000"
2014-04-12,lotto649," 370,617 ",2014-04-12,"$ 5,000,000 "
2014-04-13,bc49," 25,506 ",2014-04-16,"$2,000,000"
2014-04-13,extra," 24,135 ",2014-04-16,"$500,000"
2014-04-13,lotto649," 121,909 ",2014-04-16,"$ 7,000,000 "
2014-04-14,bc49," 33,926 ",2014-04-16,"$2,000,000"
2014-04-14,extra," 30,337 ",2014-04-16,"$500,000"
2014-04-14,lotto649," 168,981 ",2014-04-16,"$ 7,000,000 "
2014-04-15,bc49," 43,122 ",2014-04-16,"$2,000,000"
2014-04-15,extra," 37,766 ",2014-04-16,"$500,000"
2014-04-15,lotto649," 218,633 ",2014-04-16,"$ 7,000,000 "
2014-04-16,bc49," 85,658 ",2014-04-16,"$2,000,000"
2014-04-16,extra," 63,799 ",2014-04-16,"$500,000"
2014-04-16,lotto649," 394,187 ",2014-04-16,"$ 7,000,000 "
2014-04-17,bc49," 41,866 ",2014-04-19,"$2,000,000"
2014-04-17,extra," 44,048 ",2014-04-19,"$500,000"
2014-04-17,lotto649," 224,290 ",2014-04-19,"$ 10,000,000 "
2014-04-18,bc49," 42,277 ",2014-04-19,"$2,000,000"
2014-04-18,extra," 42,320 ",2014-04-19,"$500,000"
2014-04-18,lotto649," 230,110 ",2014-04-19,"$ 10,000,000 "
2014-04-19,bc49," 88,015 ",2014-04-19,"$2,000,000"
2014-04-19,extra," 65,880 ",2014-04-19,"$500,000"
2014-04-19,lotto649," 420,359 ",2014-04-19,"$ 10,000,000 "
2014-04-20,bc49," 18,932 ",2014-04-23,"$2,000,000"
2014-04-20,extra," 20,907 ",2014-04-23,"$500,000"
2014-04-20,lotto649," 103,807 ",2014-04-23,"$ 14,000,000 "
2014-04-21,bc49," 27,633 ",2014-04-23,"$2,000,000"
2014-04-21,extra," 28,101 ",2014-04-23,"$500,000"
2014-04-21,lotto649," 148,460 ",2014-04-23,"$ 14,000,000 "
2014-04-22,bc49," 41,809 ",2014-04-23,"$2,000,000"
2014-04-22,extra," 39,242 ",2014-04-23,"$500,000"
2014-04-22,lotto649," 232,918 ",2014-04-23,"$ 14,000,000 "
2014-04-23,bc49," 90,545 ",2014-04-23,"$2,000,000"
2014-04-23,extra," 71,992 ",2014-04-23,"$500,000"
2014-04-23,lotto649," 455,989 ",2014-04-23,"$ 14,000,000 "
2014-04-24,bc49," 32,195 ",2014-04-26,"$2,000,000"
2014-04-24,extra," 36,953 ",2014-04-26,"$500,000"
2014-04-24,lotto649," 194,364 ",2014-04-26,"$ 18,000,000 "
2014-04-25,bc49," 49,942 ",2014-04-26,"$2,000,000"
2014-04-25,extra," 57,582 ",2014-04-26,"$500,000"
2014-04-25,lotto649," 320,485 ",2014-04-26,"$ 18,000,000 "
2014-04-26,bc49," 97,801 ",2014-04-26,"$2,000,000"
2014-04-26,extra," 76,102 ",2014-04-26,"$500,000"
2014-04-26,lotto649," 509,191 ",2014-04-26,"$ 18,000,000 "
2014-04-27,bc49," 21,578 ",2014-04-30,"$2,000,000"
2014-04-27,extra," 24,173 ",2014-04-30,"$500,000"
2014-04-27,lotto649," 101,881 ",2014-04-30,"$ 5,000,000 "
2014-04-28,bc49," 32,382 ",2014-04-30,"$2,000,000"
2014-04-28,extra," 31,219 ",2014-04-30,"$500,000"
2014-04-28,lotto649," 150,560 ",2014-04-30,"$ 5,000,000 "
2014-04-29,bc49," 38,315 ",2014-04-30,"$2,000,000"
2014-04-29,extra," 35,045 ",2014-04-30,"$500,000"
2014-04-29,lotto649," 183,736 ",2014-04-30,"$ 5,000,000 "
